Lake,Code,Region,Date.Survey,Month.Sampled,Date.Rep.Survey,Latitude,Longitude,East_NZMG,North_NZMG,PRIMARY FENZ class ,GEOMORPHIC Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ SumPress1A,FENZ SumPress1B,RegionalRa,Regional rank,National Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,DecTemp,DecSolrad,Fetch,SumWind,catBeech,catGlacial,catHard,catPeat,catPhos,catSlope,catAnnTemp,DirectDistCoast,ResidenceTime,MeanWind,Catch.flow,catJuneSolRad,catCalc,catPsize,catAlluv,Alpine.Grass,Indi.Hard,Built.up,Decid.Hard,Dep.Grass,Dune.Shrub,Estu.Wat,Exot.For,Fernland,Flaxland,For.Harv,Gorse,Gravel,Herb.FW.Veg,Herb.Sal.Veg,High.Prod.Exotic.Grass,Indi.For,Landslide,Low.Prod.Grass,Manuka,Matagouri,Mixed.Exo.Shrub,Orchard,Peat.Shrub,Per.Snow,River,Sand,Short.rot.Crop,Sub.Alp.Shrub,Mine,Tussock,Trans.Infra,Parkland,Max.Depth,Sampling.Depth ,Secchi.Disk,Thermocline,Altitude,Zooplankton.Net.Depth,Zooplankton.filtered,Phytoplankton.net.depth,Phytoplankton.filtered,WCS.Bul.TN,WCS.Bul.Nitrite,WCS.Bul.Nitrate,WCS.Bul.TKN,WCS.Bul.TP,WCS.Bul.TSS,WCS.Bul.VSS,WCS.DOC,WCS.TOC,WCS.DIN.Nitrite,WCS.DIN.Nitrate,WCS.DIN.Ammonia,WCS.DIN.DRP,WCS.Arsenic,WCS.Cadmium,WCS.Chromium,WCS.Copper,WCS.Lead,WCS.Mercury,WCS.Nickel,WCS.Zinc,WCS.Chla,BS.Bul.TN,BS.Bul.Nitrite,BS.Bul.Nitrate,BS.Bul.TKN,BS.Bul.TP,BS.Bul.TSS,BS.Bul.VSS,BS.DOC,BS.TOC,BS.DIN.Nitrite,BS.DIN.Nitrate,BS.DIN.Ammonia,BS.DIN.DRP,BS.Arsenic,BS.Cadmium,BS.Chromium,BS.Copper,BS.Lead,BS.Mercury,BS.Nickel,BS.Zinc,Data.Quality,TLI3,TL-P,TL-N,TL-Chl-a,Median-TP,Median-TN,Median-Chl-a,Chla-95,Bloom,Shallow/Deep,Monitored.Month.TN,Monitored.Month.TP,Monitored.Month.Chla,Days.Different,PW.DRP.concentration.DL,PW.TP,Ex.P.PW,PF.NH4Cl.P,PF.BD.P,PF.NaOH.rP,PF.Org.P,PF.HCl.P,PF.Res.P,PF.Total.P,PF.NH4Cl.P%,PF.BD.P%,PF.NaOH.rP%,PF.Org.P%,PF.HCl.P%,PF.Res.P%,Pot.Mob.P.SL,Pot.Mob.AL,Pot.Mob.AL.Org.P,EPC,AR.P.DW,AR.N.DW,AR.P,AR.N,Sys.for.Densities,Tot.BD.sedm.PW.g.cm3,Tot.BD.sedm.PW.kg.m3,DryBD.DW.g.cm3,DryBD.DW.,PW.density.g.cm3,PW.density.,AM.sedm.PW.g.cm2,AM.sedm.PW.kg.m2,AM.DW.g.cm2,AM.DW.kg.m2,AM.PW.g.cm2,AM.PW.kg.m2,Tot.PW,BulS.Ash,BulS.OM,BulS.Carbonates,BulS.TOC,BulS.TN,BulS.Iron,BulS.Manganese,BulS.Aluminium,BulS.Calcium,BulS.Lead,BulS.Copper,BulS.Cadmium,BulS.Zinc,BulS.Phosphorus,BulS.Sulfur,GS..63,GS.63.2mm,GS..2mm,TRR.Mn.Fe,TRR.TOC.TP,TRR.Al.Fe,TRR.AL.P,TRR.Fe.P,TN:TP,RSE.NaOH.Al.BD.Fe,RSE.NaOH.rP.BD.P,RSE.BD.Fe.TOC,RSE.TOC.Res.P,SI.d15N,SI.d13C,SI.C:N,BD.Fe.molar,NaOH.Al,Sieve0.05,Sieve0.06,Sieve0.12,Sieve0.24,Sieve0.49,Sieve0.98,Sieve2,Sieve3.9,Sieve7.8,Sieve15.6,Sieve31,Sieve37,Sieve44,Sieve53,Sieve63,Sieve74,Sieve88,Sieve105,Sieve125,Sieve149,Sieve177,Sieve210,Sieve250,Sieve300,Sieve350,Sieve420,Sieve500,Sieve590,Sieve710,Sieve840,Sieve1000,Sieve1190,Sieve1410,Sieve1680,Sieve2000,Sieve2380,Sieve2830,Sieve3360,Dx (10),Dx (50),Dx (90)
Lake Waahi,41314,Waikato,12/10/2020,October,,-37.556942,175.124364,2697913,6402639,A,R,5,444.6,7409552,13.09,0.225,0.063,129,7.021,676,13.47,0.3338,0.73,69.79,1112.3,0,100.5,53.5,0,0,18.39,2348.01,3082,3.2,0,0,1.91,2.88,1.61,4.72,13.76,22645.59,41.24320909,3.017189145,65574101,623.523494,1.58603323,2.25334859,4.24665117,0,1.314058311,0.757127828,1.708656147,0,0,0,7.270359891,0.034572316,0,0.194971525,6.318156715,0,0.637328507,0,68.60544076,3.125141677,0,2.311856476,1.471405088,0,0.022061496,0,0,0,0,0,0,0,6.185884643,0,0.034526171,0.008452446,3.4,,0.33,,13,,50,,50,1.3,0.0024,0.284,1,0.036,27,5.33,6.2,6.5,0.0045,0.282,<0.005,<0.002,0.00064,<0.00002,<0.0002,0.001,0.00009,<0.00008,0.0093,0.002,0.14,,,,,,,,,,,,,,,,,,,,,,1,5.58,5.26,5.72,5.74,50.5,1135,27,93.05,66.7,shallow,,,,,0.001,0.038,0.1311,0.1249,173.1,102.9,175.1,6.14,150,607,0.022,28.5,16.9,28.8,1.01,24.7,451,348,173,0.0016,1.15,28.4,3.41,84.26,C,1.067,1067,0.148,148.3,0.918,918,21332,21.3,2966,2.966,18366,18.4,86.1,81.5,18.5,3.5,3.5,0.61,30500,1510,38800,6370,20.7,19.2,0.27,127,520,3100,68.58,31.42,0,0.0503,173.6,2.63,85.65,32.53,11.73,2.36,0.59,0.043,601.7,,,,0.126,0.297616914,0,0,0,0,0,2.35,5.92,13.57,25.48,39.77,55.23,58.93,62.32,65.69,68.58,71.1,73.65,76.11,78.41,80.62,82.68,84.67,86.66,88.72,90.45,92.46,94.33,96.02,97.67,98.85,99.64,99.96,100,100,100,100,100,100,3.01,24.5,336
Lake Rotomanuka,14428,Waikato,15/10/2020,October,,-37.9258209,175.31575,2713710,6361528,A,S,8.7,13.6,218225,58.28,0.34,0.105,39,0.706,2407,86.681,0.3551,5.65,69.17,2.14,0,91.52,44.5,0,0,17.91,2335.92,620,2.87,0,0,1.01,0,1.01,1.02,13.42,33114.74,295.2188759,2.819959998,269806.976,613.954546,1.4528302,1,53.5956574,0,0,7.341425024,0,0,0,0,0,0,0,0,0,0,12.23954422,0,80.41903075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,,1.7,,89,7,,7,,1.2,0.0024,0.033,1.14,0.023,8,5,15.7,16.1,0.003,0.0331,0.1,<0.002,0.00057,<0.00002,0.00038,0.00053,0.00016,<0.00008,0.00036,0.0065,0.012,,,,,,,,,,,,,,,,,,,,,,1,4.9,3.98,5.61,5.12,19.5,1126.5,11,28.05,20,shallow,,,,,0.001,0.025,0.3485,0.3251,376.5,359.6,681.5,24.52,220,1662,0.021,22.6,21.6,41,1.47,13.2,1418,1058,377, ,8.5,116.73,6.64,91.29,C,0.956,956,0.039,39.1,0.917,917,19113,19.1,782,0.782,18331,18.3,95.9,59.1,40.9,6.9,9.7,1.6,28200,658,17200,6490,29.2,15.8,0.43,147,1220,22000,53.72,46.28,0,0.0237,205,1.26,16.18,12.82,13.11,2.1,0.96,0.018,1137,,,,0.147,0.308677549,0,0,0,0,0,0.2,0.93,2.83,6.81,16.37,31.93,36.61,41.62,47.61,53.72,59.7,66.21,72.56,78.25,83.11,87.03,90.19,92.72,94.85,96.31,97.63,98.59,99.26,99.74,99.97,100,100,100,100,100,100,100,100,10.6,56.8,208
Lake Pauri,18933,Manawatu Wanganui RC,29/07/2020,July,,-39.977567,175.0976,2689410,6134239,A,W,7.85,19.2,503840,57.58,0.291,0.092,18,7.895,2376,86.638,0.3087,0,83.2,4.42,0,145.2,42,0,0,17.55,2338.87,1020,4.39,0,0,2.97,0,2.17,1.23,12.87,3799.58,234.6565835,4.193203211,783705.92,564.7532808,1.755494,2.392857,45.3647,0,0.758049915,0,0.391020903,0,0,0,1.802622101,0,0,0,0,0,1.755494185,0,86.52572281,0.259907561,0,0,0,0,0,0,0,0,0,0,8.507182521,0,0,0,0,0,14.2,12.9,3.6,,52,10,,10,,1.2,0.0025,0.266,0.92,0.036,3,<3,8.5,8.3,,,,,0.00051,<0.00002,0.00023,0.00089,5.20E-05,<0.00008,0.00048,0.0049,0.0014,,,,,,,,,,,,,,,,,,,,,,1,5.41,5.51,5.62,5.11,60,1060,11,54.6,25,deep,,,,,0.004,0.18,0.1896,0.1536,1646,1252,357.7,106.4,370,3732,0.005,44.1,33.5,9.6,2.85,9.9,3256,2004,1646, ,83.36,84.27,326.62,330.17,C+P,1.96,1960,0.196,195.9,1.764,1764,39193,39.2,3918,3.918,35275,35.3,90,70.7,29.3,2.4,9.1,1.5,59500,848,40600,7190,23.6,41.9,0.3,137,3560,8200,48.71,51.29,0,0.0145,65.9,1.41,13.09,9.27,4.21,0.82,0.76,0.025,634.2,4.2957,-28.97638,10.6992959,0.187,0.152806344,0,0,0,0,0,0.67,1.76,4.38,9.05,16.22,26.8,31.05,36.03,42.29,48.71,54.82,61.12,66.78,71.49,75.14,77.89,80.05,81.82,83.49,84.87,86.58,88.4,90.34,92.72,94.88,96.87,98.42,99.44,99.93,100,100,100,100,8.69,65.2,573
Spectacle Lake,22999,Auckland,15/11/2018,November,,-36.180537,174.631217,2657343,6556391,A,W,7,43.8,1023022,16,0.299,0.095,24,83.128,2300,86.516,0.3233,0,80.89,10.1,0,0,53.5,0,0,19.19,2362.28,945,3.67,0,0,2.68,4.12E-04,0.99,5.45,,1991.74,,3.840306282,587107.696,674.67,1.15,1.84,0,0,9.10E-05,0,0,0,0,0,1.957895394,0,0.822516191,0,0,0,0,0,91.3882015,5.358665999,0,0,0.472629944,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.9,0.52,1.5,16,3,,3,,2.17,0.0081,<0.002,2.16,0.15,34,27,13.8,16.5,0.0056,0.088,0.022,0.004,0.0012,0.00001,0.0004,0.0007,0.0002,<0.0001,0.0012,0.002,0.078,,,,,,,,,,,,,,,,,,,,,,1,5.98,5.83,5.54,6.55,86.5,1050,52.8,100.93,86.7,shallow,950,120,50,1,0.015,0.13,2.6909,2.52,636.5,152.6,243.6,74.45,94,1204,0.224,52.9,12.7,20.2,6.18,7.8,1035,883,639,0.0278,14.38,48.31,24.42,82.07,C,1.052,1052,0.085,84.9,0.967,967,21043,21,1699,1.699,19345,19.3,91.9,74.9,25.1,3.9,11.4,1.1,88900,1660,21100,4210,4.51,26.7,0.19,83.7,1160,11100,49.79,49.71,0.5,0.019,253.4,0.49,20.88,42.51,9.48,0.24,0.24,0.024,3127.5,1.797,-28.7473,11.67313573,0.228,0.053940371,0,0,0,0,0,1.04,3.38,7.57,13.68,22.06,33.48,37.1,40.95,45.41,49.79,53.95,58.35,62.56,66.32,69.57,72.29,74.63,76.76,78.91,80.76,83.11,85.52,87.94,90.66,93,95.12,96.82,98.08,98.96,99.5,99.81,99.95,100,5.27,63.5,678
Lake Tuakitoto,44599,Otago,24/06/2020,June,,-46.22815363,169.8248794,2264835,5437554,A,R,3,131.7,1317384,21.03,0.208,0.083,40,1,1719,68.358,0.316,0.12,72.53,1306.02,0,0,41,0,0.0126,14.41,2137.13,2200,4.6,0,0,2.6,3.63,2.62,5.09,9.71,9528.71,16.69845033,4.642130136,28795795.5,394.946307,1.80387497,2.04770231,7.97807741,0,2.565931604,0.105777868,0.583361735,0,0,0,14.40895894,0,0,0.396484192,3.506587442,0,2.553692479,0,74.94224604,0.081470197,0,0.061459188,0.643269623,0.110001125,0,0,0,0,0,0,0,0,0.040759567,0,0,0,0.8,,0.7,0,12,,80,,80,0.96,0.0018,0.0467,0.91,0.088,15,5.33,5.8,5.9,0.0021,1.03,<0.005,0.005,<0.0005,<0.00002,0.00032,0.00055,0.00013,<0.00008,0.00031,0.0073,0.012,,,,,,,,,,,,,,,,,,,,,,2,5.38,6.13,5.49,4.51,103,1020,6.4,35.2,4,shallow,,,,,0.008,0.28,0.1592,0.1294,1193,337.1,249.2,131.8,200,2111,0.008,56.5,16,11.8,6.24,9.5,1779,1442,1193,0.067,36.79,125.87,172.35,589.62,C,1.105,1105,0.234,234.2,0.871,871,22097,22.1,4684,4.684,17413,17.4,78.8,89.7,10.3,3.4,3.4,0.55,32500,1370,16900,4140,20.8,70.2,0.15,111,1630,2200,75.23,24.77,0,0.0428,53.8,1.08,11.9,11.06,3.37,0.43,0.28,0.071,438.4,3.449,-27.5283,10.07000365,0.202,0.08596576,0,0,0,0,0,0.55,1.96,4.76,11.36,23.4,44.69,52.2,59.93,68.18,75.23,80.92,85.79,89.32,91.71,93.18,94.16,95,95.92,96.99,97.92,98.88,99.55,99.9,100,100,100,100,100,100,100,100,100,100,7,35.2,109
Lake Waiporohita,24415,Northland,11/11/2018,November,02/07/2019,-34.90133333,173.3482167,2542715,6699999,C,W,3,6.9,68642,14.27,0.299,0.246,21,73.111,2040,77.945,0.3147,0,88.32,3.43,8.5535,0,14,0,0,19.75,2357.43,350,4.46,0,0,3.52,2.83E-03,1,1.06,15.9,1730.36,115.6160933,4.621216774,216703.392,724,1.15,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5323301,0,0,0,0.467669896,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.3,1.57,,14,1.5,,1.5,,,,,,,,,14.3,12.7,,,,,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,<0.001,0.017,,,,,,,,,,,,,,,,,,,,,,1,5.14,4.79,5.3,5.32,34.5,970,14.1,34.35,40,shallow,899,25,6.6,1,0.063,0.27,3.8948,2.861,66.79,1195,927.8,23.84,319,2536,0.154,2.6,47.1,36.6,0.94,12.6,2193,998,71,0.0677,10.45,67.92,25.16,163.54,P,2.095,2095,0.12,120.4,1.975,1975,41905,41.9,2408,2.408,39497,39.5,94.3,48.3,51.7,<0.2,24.8,2.4,4850,31.5,17800,5840,16.6,24.7,0.45,48.7,3680,9540,36.99,62.91,0.1,0.0066,173.8,7.6,5.55,0.73,6.52,762.9,17.89,0,2004.8,,,,0.001,0.560937944,0,0,0,0,0,0.2,1.11,3.19,7.03,12.99,21.9,24.95,28.32,32.49,36.99,41.7,47.39,53.79,60.5,67.45,74.11,80.31,85.79,90.49,93.55,96,97.52,98.4,98.94,99.22,99.4,99.53,99.65,99.78,99.9,100,100,100,11.4,94.7,294
Lake Johnson,53707,Otago,27/06/2020,June,,-45.00771483,168.7323606,2173614,5569585,F,G,27,25.5,2292304,391.2,0.34,0.146,135,5.38,2030,77.861,0.3427,0,71.47,0.02,62.1218,126,24,0,0,15.43,2222.2,969,3.86,0,0,2.75,0,3,13.35,9.15,72445.12,6763.632373,3.423010707,123704.368,472.823171,2,3.16788316,NA,0,0,0,2.292216856,0,0,0,0.478347569,0,0,0,0,0,0,0,85.10529453,0,0,3.474267503,0,3.407601669,0,0,0,0,0,0,0,0,0,5.242271872,0,0,30,,3.5,0,410,20,,20,,0.78,0.78,0.0021,0.0037,0.051,5,3.67,5.5,5.8,<0.001,0.0521,0.08,0.028,0.0011,<0.00002,<0.0002,<0.0002,<0.00005,<0.00008,<0.0002,0.0018,0.0054,,,,,,,,,,,,,,,,,,,,,,2,5.35,5.27,5.34,5.45,47,935,12.5,49.95,36.8,deep,,,,,0.003,0.11,31.9601,31.7929,660.9,79.54,675,252,760,2459,1.3,26.9,3.2,27.4,10.25,30.9,1447,1368,693, ,323.11,466.03,112.43,162.16,C,0.987,987,0.017,17.4,0.969,969,19733,19.7,348,0.348,19385,19.4,98.2,45.3,54.7,8.1,8.4,2.1,13800,702,4740,59600,10.5,30.5,0.12,62.4,2700,12000,35.98,64.02,0,0.0517,80.2,0.71,2.02,2.83,7.78,0.51,0.12,0.006,285,,,,0.045,0.023204734,0,0,0,0,0,0,0.04,0.83,3,8.09,17.48,20.99,25.03,30.22,35.98,42.06,49.35,57.34,65.41,73.3,80.47,86.78,91.94,96,98.29,99.66,100,100,100,100,100,100,100,100,100,100,100,100,18.6,89.3,233
Lake Wiritoa,18934,Manawatu Wanganui RC,29/07/2020,July,,-39.974633,175.089083,2688598,6134659,B,W,28.88,21.8,2094447,51.07,0.298,0.095,75,88.958,2231,86.053,0.3125,0.57,71.08,2.81,0,301.5,42,0,0,17.58,2339.05,972,4.37,0,0,2.86,0,2.34,1.22,12.92,3236.86,540.7051534,4.154776812,1413844.61,564.883117,1.86322188,2.03191495,49.7477036,0,1.532170114,2.452952186,1.196784296,0,0,0,3.502775847,0,0,0,0,0,1.646717459,0,71.65231487,0.426540552,0,12.86715887,0,0,0,0,0,0,0,0,4.72258581,0,0,0,0,0,19.1,18.5,3.9,,55,10,,10,,0.95,0.0042,0.196,0.75,0.025,<3,<3,7.5,7.9,0.0046,0.296,0.02,0.007,<0.0005,<0.00002,<0.0002,0.00037,<0.00005,<0.00008,<0.0002,<0.001,0.0014,,,,,,,,,,,,,,,,,,,,,,1,5.27,5.32,5.45,5.04,43,930,10,57,12.5,deep,,,,,0.001,0.14,0.2086,0.1947,1900,1202,562.1,75.93,510,4250,0.005,44.7,28.3,13.2,1.79,12,3664,2462,1900, ,91.82,52.14,128.11,72.74,P,1.042,1042,0.07,69.8,0.972,972,20844,20.8,1395,1.395,19448,19.4,93.3,62.7,37.3,2.7,9.5,2,57900,726,29700,6170,35.4,41.3,0.29,147,4380,19000,44.73,55.27,0,0.0127,55.9,1.06,7.78,7.33,4.57,0.82,0.63,0.016,480.4,3.0757,-29.67538,9.955663137,0.125,0.10305732,0,0,0,0,0,0.46,1.3,3.4,7.58,14.67,25.06,28.89,33.32,38.89,44.73,50.47,56.66,62.59,67.82,72.2,75.71,78.54,80.82,82.83,84.33,86.03,87.77,89.64,92.01,94.22,96.35,98.05,99.23,99.86,100,100,100,100,10.2,73,607
Lake Rotootuauturu,50403,Northland,13/08/2019,August,,-36.33137007,174.1397831,2612829,6540544,A,W,5.5,17.2,614425,36.98,0.3,0.074,130,0,3116,94.165,0.329,0,34.03,15.73,41.8285,147.4,0,0,0,18.28,2346.22,697,4.61,0,0,3.97,0,0.99,3.46,14.46,2168.26,43.29411362,4.649732351,5180036.1,664.62,0.99,1.98,0.00050746,0,1.454054568,0,0,0,0,0,42.29834268,0.169139254,0,0.153619674,0.097063521,0,4.442683744,0,40.08546238,0,0,0.223601587,10.97653012,0,0,0.099502476,0,0,0,0,0,0,0,0,0,0,6,,1.8,,37,4,,4,,,,,,,,,16.2,17.3,,,,,0.00081,<0.00001,0.00025,0.00069,0.00015,<0.00008,0.00028,0.0075,0.011,,,,,,,,,,,,,,,,,,,,,,1,5.39,5.05,5.51,5.63,46,914,18.7,97.4,60,shallow,1030,52,19.8,9,0.013,0.32,2.7495,2.582,655.8,719.7,1037,23.32710032,650,3089,0.089,21.2,23.3,33.6,0.76,21,2415,1696,659,0.0209,18.59,170.68,23.61,216.78,C,0.883,883,0.064,63.5,0.819,819,17657,17.7,1270,1.27,16387,16.4,92.8,53.6,46.4,2.6,19.4,2.3,38000,1870,35300,7490,11.3,16,0.24,102,2370,14000,19.06,80.94,0,0.05,211.1,1.92,17.1,8.89,9.7,3.14,1.1,0.008,769.7,2.69,-28.6623,12.72006856,0.122,0.381917029,0,0,0,0,0,0,0.11,0.92,2.6,5.35,9.96,11.62,13.53,16.04,19.06,22.6,27.48,33.78,41.15,49.61,58.37,66.99,75.02,82.25,87.2,91.48,94.42,96.36,97.77,98.66,99.28,99.67,99.9,100,100,100,100,100,31.2,150,391
Lake Waiparera,13467,Northland,05/07/2019,July,,-34.94642884,173.1832282,2527412,6695240,A,W,6,108.6,2171542,31.26,0.401,0.212,13,45.313,1684,68.222,0.422,0,29.91,3.41,0,192,14,0,0,19.5,2358.1,1450,5.13,0,0,3.23,2.92E-04,0.97,1.35,15.81,2903.53,306.971972,5.325306416,2582036.48,723.09,1.2,1.72,0.00064527,0,0,0,0.192700008,0,0,0,48.48601254,0,0,0,0.95693576,0,11.07010567,0,35.97260052,0,0,0.520010401,2.059854307,0,0.741780796,0,0,0,0,0,0,0,0,0,0,0,6.5,3.5,2.3,,31.3,2,,2,,1.48,0.0029,0.159,1.32,0.024,3,<3,15.3,16.5,0.0031,0.151,0.1,<0.002,0.00098,<0.00001,0.00033,0.00033,<0.00005,<0.0001,<0.0002,0.0025,0.008,,,,,,,,,,,,,,,,,,,,,,1,5.02,4.36,5.39,5.32,28,900.5,9.95,50.825,0,shallow,,,,,0.016,0.085,3.6826,3.38567796,113.0088869,311.6234188,829,50.39855012,500,1808,0.204,6.3,17.2,45.9,2.79,27.7,1257,946,117,0.0022,16.54,28.44,13.89,23.88,C,0.821,821,0.042,42,0.779,779,16425,16.4,840,0.84,15585,15.6,94.9,60.5,39.5,3,21.2,2.3,30000,170,20900,7890,8.89,16.8,0.17,56,1600,29500,21.21,78.79,0,0.0058,341.7,1.44,15,10.4,14.38,13.49,2.76,0.001,1093.4,,,,0.021,0.281812031,0,0,0,0,0,0,0.03,0.71,2.37,5.52,11.02,13.01,15.26,18.09,21.21,24.54,28.66,33.47,38.68,44.34,50.09,55.83,61.55,67.31,71.95,77.16,81.91,86.19,90.51,93.9,96.65,98.51,99.62,100,100,100,100,100,28,177,694
Lake Oingo,36096,Hawke's Bay,23/09/2019,September,,-39.56655206,176.751942,2832119,6175790,A,R,1.8,85.1,3915649,20.72,0.306,0.301,24,66.816,2100,79.391,0.3175,0,84.23,1.37,0,0,8.5,0,0,18.62,2363.45,2106,3.19,0,0,3.35,0,1.35,6.45,13.41,13312.71,711.9371205,3.05570066,2007497.6,604.68,1.92,4.14,0.00019206,0,0,0,0,0,0,0,2.738256108,0,0,0.000922735,0,0,4.973643676,0,92.28717748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,0.23,,21,5,,5,,,,,,,,,14.8,23.8,,,,,0.0014,0.000018,<0.0002,0.0017,0.00021,<0.00008,0.00051,0.022,0.072,,,,,,,,,,,,,,,,,,,,,,3,5.1,5.83,5.3,4.16,50,895,5,18.17,0,shallow,,,,,0.096,,245.6608,243.8,349.5,65.8,297.7,538.5,1360,2857,8.598,12.2,2.3,10.4,18.85,47.6,959,893,595,0.0081,144.44,-1650.26,139.72,-1596.32,C,0.963,963,0.048,48.4,0.914,914,19255,19.3,967,0.967,18287,18.3,95,66.6,33.4,29.4,11.6,,4720,1240,3710,238000,3.6,7,<0.036,19.1,2270,8000,42.32,57.68,0,0.267,131.8,1.63,1.88,1.15,0,7.8,0.19,0,220,,,,0.002,0.019370609,0,0,0,0,0,0.06,0.24,1.02,3.34,8.86,19.65,24.1,29.23,35.64,42.32,48.95,56.31,63.78,70.9,77.54,83.36,88.37,92.41,95.61,97.51,98.85,99.56,99.89,100,100,100,100,100,100,100,100,100,100,17.2,75.9,225
Lake Vincent,43649,Southland,23/01/2019,January,,-46.590107,168.821629,2189821,5393554,A,W,5,17.2,286801,19.16,0.27,0.27,57,1.588,2625,91.795,0.3087,0,58.2,44.52,0,0,0,0,0,13.66,2117.34,1014,5.34,0,0,3.87,0,2.9,1.08,9.98,591.42,48.78358032,4.945979118,2145853.7,369.124601,1.30952382,3.19727898,31.4236603,0,0,0,0.431607343,0,0,0,1.778625787,0,0,1.601691069,0,0,0,0,61.07324875,0,0,35.03182564,0,0,0,0,0,0,0,0.083001412,0,0,0,0,0,0,6.3,6,2.4,????,19,6,,6,,0.81,0.0034,0.059,0.75,0.032,3,<3,8.8,9.3,0.0036,0.09,0.021,<0.002,<0.0005,<0.00001,<0.0002,0.0004,0.0001,<0.0001,0.0004,0.0035,<0.0015,,,,,,,,,,,,,,,,,,,,,,1,4.3,4.25,5.28,3.38,20.75,845,1.85,8.63,0,shallow,765,29,8.6,8,0.081,0.6,0.8658,0.1116,400.7,1432,330.2,37.16,284,2485,0.035,16.1,57.6,13.3,1.5,11.4,2164,732,402,0.0632,3.02,2.01,7.24,4.82,C,1.236,1236,0.12,119.9,1.116,1116,24721,24.7,2397,2.397,22323,22.3,90.3,81.9,18.1,,6.3,0.65,107000,3390,20400,5280,20.8,17.5,0.11,62.8,2600,1880,47,53,0,0.0322,62.5,0.39,9.01,22.83,2.5,0.22,3.57,0.131,572.1,5.965,-28.9063,12.61983736,0.687,0.151055404,0,0,0,0,0,0.37,1.32,2.66,5.41,11.15,24.16,29.27,34.78,41.07,47,52.39,57.84,62.92,67.48,71.62,75.37,78.87,82.23,85.54,88.14,90.89,93.22,95.16,96.95,98.22,99.13,99.66,99.92,100,100,100,100,100,14.1,68.8,395
Lake Forsyth,47579,Canterbury,02/11/2019,November,,-43.8025,172.3794,2489581,5711625,A,B,4,558.8,7450066,2.63,0.21,0.118,1,99.821,2097,79.24,0.341,0.28,65.22,2034.82,0,0,27,0,0.0456,16.13,2154.74,4922,5.16,0,0,2.91,0,3.81,16.45,10.93,81.46,25.36270095,4.309349775,107215487,492.661298,1.93078709,2.77792263,7.46922064,0,10.04493515,0.365070493,0.627629327,0,0,0,6.790115888,0.038229677,0,0.034566217,1.414357353,0.765551327,0.217699151,0,65.65310817,0.416243401,0,5.446112433,6.795450825,0.647061876,0.623486971,0,0,0,0.026809781,0.004321243,0,0,0.050086541,0,0,0.039164176,4,,1,,5,,50,,50,,,,,,,,3.3,4.6,,,,,<0.0005,<0.00001,0.00051,0.00062,<0.00005,<0.00008,0.00031,0.018,0.0095,,,,,,,,,,,,,,,,,,,,,,1,6.05,6.21,5.48,6.48,82.5,835,33,161,52,shallow,650,59,18,6,0.064,0.21,2.178,1.993,305.9,196.6,207.7,195.5,220,1128,0.193,27.1,17.4,18.4,17.33,19.5,712,516,308,0.0321,14.72,13.23,87.49,78.65,C,1.157,1157,0.297,297.3,0.86,860,23145,23.1,5945,5.945,17200,17.2,74.3,90.3,9.7,0.9,3.2,0.38,24000,520,25200,4000,12.1,19.2,0.073,65.7,1150,1700,63.84,35.49,0.67,0.022,71.8,2.17,25.16,11.58,3.3,1.25,0.64,0.033,375.1,5.191,-26.2693,10.55225009,0.088,0.109393077,0,0,0,0,0,0.68,2.16,6.24,15.45,29.47,46.8,51.36,55.69,60.1,63.84,67,69.96,72.47,74.53,76.17,77.49,78.6,79.61,80.65,81.58,82.91,84.47,86.3,88.76,91.17,93.63,95.77,97.44,98.62,99.33,99.75,99.94,100,5.44,35.1,775
